Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag,Note
IND,2000-01-01,2002-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20002002,2002,%,104,E,
IND,2001-01-01,2003-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20012003,2003,%,102,E,
IND,2002-01-01,2004-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20022004,2004,%,100,E,
IND,2003-01-01,2005-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20032005,2005,%,100,E,
IND,2004-01-01,2006-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20042006,2006,%,100,E,
IND,2005-01-01,2007-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20052007,2007,%,102,E,
IND,2006-01-01,2008-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20062008,2008,%,104,E,
IND,2007-01-01,2009-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20072009,2009,%,104,E,
IND,2008-01-01,2010-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20082010,2010,%,104,E,
IND,2009-01-01,2011-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20092011,2011,%,104,E,
IND,2010-01-01,2012-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20102012,2012,%,104,E,
IND,2011-01-01,2013-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20112013,2013,%,105,E,
IND,2012-01-01,2014-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20122014,2014,%,106,E,
IND,2013-01-01,2015-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20132015,2015,%,106,E,
IND,2014-01-01,2016-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20142016,2016,%,106,E,
IND,2015-01-01,2017-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20152017,2017,%,107,E,
IND,2016-01-01,2018-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20162018,2018,%,108,E,
IND,2017-01-01,2019-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20172019,2019,%,109,E,
IND,2018-01-01,2020-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20182020,2020,%,109,E,
IND,2019-01-01,2021-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20192021,2021,%,109,E,
IND,2020-01-01,2022-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20202022,2022,%,110,E,
IND,2021-01-01,2023-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20212023,2023,%,112,E,
IND,2022-01-01,2024-12-31,100,'356,India,21010,Average dietary energy supply adequacy (percent) (3-year average),6121,Value,20222024,2024,%,113,E,
IND,2001-01-01,2001-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2001,2001,kcal/cap/d,2299,E,
IND,2002-01-01,2002-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2002,2002,kcal/cap/d,2250,E,
IND,2003-01-01,2003-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2003,2003,kcal/cap/d,2246,E,
IND,2004-01-01,2004-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2004,2004,kcal/cap/d,2218,E,
IND,2005-01-01,2005-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2005,2005,kcal/cap/d,2230,E,
IND,2006-01-01,2006-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2006,2006,kcal/cap/d,2290,E,
IND,2007-01-01,2007-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2007,2007,kcal/cap/d,2351,E,
IND,2008-01-01,2008-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2008,2008,kcal/cap/d,2374,E,
IND,2009-01-01,2009-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2009,2009,kcal/cap/d,2360,E,
IND,2010-01-01,2010-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2010,2010,kcal/cap/d,2358,E,
IND,2011-01-01,2011-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2011,2011,kcal/cap/d,2391,E,
IND,2012-01-01,2012-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2012,2012,kcal/cap/d,2385,E,
IND,2013-01-01,2013-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2013,2013,kcal/cap/d,2420,E,
IND,2014-01-01,2014-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2014,2014,kcal/cap/d,2449,E,
IND,2015-01-01,2015-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2015,2015,kcal/cap/d,2423,E,
IND,2016-01-01,2016-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2016,2016,kcal/cap/d,2473,E,
IND,2017-01-01,2017-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2017,2017,kcal/cap/d,2514,E,
IND,2018-01-01,2018-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2018,2018,kcal/cap/d,2526,E,
IND,2019-01-01,2019-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2019,2019,kcal/cap/d,2528,E,
IND,2020-01-01,2020-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2020,2020,kcal/cap/d,2541,E,
IND,2021-01-01,2021-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2021,2021,kcal/cap/d,2550,E,
IND,2022-01-01,2022-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2022,2022,kcal/cap/d,2595,E,
IND,2023-01-01,2023-12-31,100,'356,India,220001,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day),6128,Value,2023,2023,kcal/cap/d,2669,E,
IND,2000-01-01,2002-12-31,100,'356,India,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20002002,2002,kcal/cap/d,2298,E,
IND,2001-01-01,2003-12-31,100,'356,India,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20012003,2003,kcal/cap/d,2265,E,
IND,2002-01-01,2004-12-31,100,'356,India,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20022004,2004,kcal/cap/d,2238,E,
IND,2003-01-01,2005-12-31,100,'356,India,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20032005,2005,kcal/cap/d,2231,E,
IND,2004-01-01,2006-12-31,100,'356,India,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20042006,2006,kcal/cap/d,2246,E,
IND,2005-01-01,2007-12-31,100,'356,India,22000,Dietary energy supply used in the estimation of the prevalence of undernourishment (kcal/cap/day) (3-year average),6128,Value,20052007,2007,kcal/cap/d,2291,E,
